Max-min Fairness,M?c ??nh
66.4415,48.708
66.797,49.212
65.7115,50.148
64.2615,51.912
62.1445,53.064
58.083,53.712
56.2395,54.216
55.328,54
54.0405,54.072
52.6605,54.18
52.0685,54.54
52.3955,54
51.4795,54.72
51.522,54.252
50.661,53.172
51.237,52.632
52.029,52.956
52.196,53.172
51.8195,54.252
52.5565,54.216
52.4575,54.9
49.2055,55.584
46.1815,55.08
39.22,53.748
39.856,51.84
38.195,50.688
39.347,48.492
40.3065,45.216
40.591,44.712
43.0685,45.108
46.3085,44.568
49.4255,43.524
48.6275,44.532
47.4665,44.46
46.7925,44.568
47.2175,46.26
46.4295,47.664
46.585,50.472
47.3175,51.948
48.1955,53.82
48.9745,52.236
50.351,52.668
52.0405,54.288
53.09,55.296
53.306,57.096
54.7385,57.888
55.019,59.148
55.3185,60.372
55.2115,60.84
56.8675,61.056
59.4085,60.516
62.0005,59.004
64.0275,58.32
65.211,57.96
60.258,58.284
61.5255,58.212
61.7745,57.6
60.583,57.78
59.9295,57.636
58.061,56.808
54.542,56.52
54.986,57.492
55.561,57.78
56.1745,58.392
56.6785,58.896
54.6105,59.148
54.7085,58.032
55.2125,55.872
53.8125,55.116
54.198,53.784
54.198,53.352
56.485,56.376
57.835,56.628
58.1595,56.592
58.1275,56.484
57.253,53.64
56.312,53.064
55.898,53.64
54.746,54.756
54.8415,50.544
56.508,50.796
57.4825,49.788
57.4365,49.752
60.0285,49.068
62.4755,48.24
64.901,48.024
67.173,48.492
69.511,50.04
71.706,51.804
73.1535,51.948
73.308,52.632
72.659,53.244
69.0965,54
68.4395,53.568
67.954,53.208
65.0795,52.704
63.0115,52.632
59.279,52.668
58.5665,52.38
58.659,51.408
59.4725,50.256
59.666,51.444
60.386,51.66
61.1005,50.688
60.646,49.752
60.0095,49.068
61.3505,45.36
63.0785,45.288
65.0225,43.344
66.7045,42.192
68.011,40.284
68.587,39.852
69.158,41.688
69.518,43.704
70.083,45.468
70.443,46.692
67.687,47.34
66.823,48.888
64.222,49.068
63.887,47.628
62.3565,48.204
59.4955,48.672
58.904,49.392
58.6475,51.12
58.2065,52.056
56.487,52.884
56.559,53.28
56.5945,52.992
56.2,52.164
56.272,53.388
57.3025,55.08
57.1985,56.952
55.522,58.644
52.328,59.58
49.886,59.724
48.2975,59.184
48.445,58.5
49.381,57.708
51.6755,58.104
51.8905,59.004
51.6335,59.904
52.993,61.416
54.447,60.264
55.7345,59.76
57.559,57.6
61.6495,56.016
63.5215,49.896
64.913,49.824
66.49,50.076
66.115,50.472
66.127,50.688
66.056,51.408
66.795,51.768
67.794,52.596
69.1405,53.496
69.5345,54.432
70.215,56.268
70.8575,58.68
70.839,59.58
71.273,60.12
72.1595,60.012
72.8315,60.444
70.363,61.308
70.363,61.992
70.855,60.516
70.312,61.128
69.5695,61.452
68.288,62.244
67.64,63
67.7435,63.612
67.0955,61.668
66.2,61.992
66.281,61.092
66.2035,60.156
66.41,58.392
65.724,55.584
65.223,53.676
66.034,52.56
66.1345,50.292
65.747,50.976
65.1335,51.372
63.3715,51.228
59.8435,50.328
56.7265,48.996
54.164,48.168
53.2155,48.348
53.822,48.384
55.0895,48.204
57.0815,48.42
57.79,49.536
57.8665,48.348
59.8725,48.276
60.5285,47.88
61.593,47.088
63.495,45.828
64.977,43.74
65.697,41.652
66.498,41.364
68.5135,41.724
69.7235,43.308
70.9475,45.036
71.716,46.26
71.1525,47.376
70.396,47.052
70.7085,49.32
72.028,51.696
71.9735,53.784
71.912,56.016
72.012,54.972
72.6415,55.512
73.0455,56.124
74.3415,57.348
74.9865,58.356
75.239,58.788
75.815,60.408
75.659,64.332
74.088,65.556
72.288,66.636
71.208,67.68
70.0495,68.94
68.9695,69.768
69.4965,71.136
69.4065,72.756
69.9825,73.584
70.8705,73.908
70.676,72.504
70.618,70.452
70.042,68.508
68.007,65.088
66.3145,59.76
65.904,56.016
66.824,52.2
68.0045,49.464
69.2285,47.916
70.4525,47.088
72.438,47.736
72.149,48.312
72.437,49.14
72.71,49.464
72.2835,49.932
69.6645,50.508
65.836,52.2
62.026,53.172
58.3765,54.54
54.66,56.088
51.0415,57.528
48.373,57.852
46.859,56.772
45.421,55.548
45.342,55.98
45.8395,56.34
45.569,56.988
47.2105,57.672
49.0515,58.788
49.499,59.04
